Região - Sigla  Estado - Sigla  Município  Revenda  Instalação - Código  Produto  Data da Coleta  Valor de Compra  Valor de Venda  Unidade de Medida  Bandeira
CO  DF  BRASILIA  AUTO POSTO BRAGA LTDA  7890  DIESEL  03/01/2018    3,699  R$ / litro  IPIRANGA
CO  DF  BRASILIA  AUTO POSTO CHAVES LTDA  7970  DIESEL  03/01/2018  3,218  3,559  R$ / litro  PETROBRAS DISTRIBUIDORA S.A.
CO  DF  BRASILIA  AUTO POSTO JB LIMITADA  7990  DIESEL  03/01/2018  3,1505  3,489  R$ / litro  PETROBRAS DISTRIBUIDORA S.A.
CO  DF  BRASILIA  AUTO POSTO SAO JUDAS TADEU LTDA  166827  DIESEL  03/01/2018    3,199  R$ / litro  IPIRANGA
CO  DF  BRASILIA  BRASAL COMBUSTIVEIS LTDA  8048  DIESEL  03/01/2018    3,599  R$ / litro  RAIZEN
CO  DF  BRASILIA  ESTAÇÃO DE COMBUSTÍVEIS WEST LTDA.  7679  DIESEL  03/01/2018    3,429  R$ / litro  PETROBRAS DISTRIBUIDORA S.A.
CO  DF  BRASILIA  EUROGAS-POSTOS DE SERVIÇOS LTDA  7826  DIESEL  03/01/2018    3,579  R$ / litro  BRANCA
CO  DF  BRASILIA  JAJUR COMERCIO DE DERIVADOS DE PETROLEO LTDA  7836  DIESEL  03/01/2018    3,599  R$ / litro  PETROBRAS DISTRIBUIDORA S.A.
CO  DF  BRASILIA  JARJOUR VEICULOS E PETRÓLEO LTDA.  7745  DIESEL  03/01/2018    3,59  R$ / litro  BRANCA
CO  DF  BRASILIA  PECOBRAL COMÉRCIO DE DERIVADOS DE PETRÓLEO BRASÍLIA LTD  7986  DIESEL  03/01/2018    3,799  R$ / litro  PETROBRAS DISTRIBUIDORA S.A.
CO  DF  BRASILIA  POSTO PARQUE ALAMEDA DERIVADOS DE PETROLEO LTDA  7762  DIESEL  03/01/2018    3,599  R$ / litro  PETROBRAS DISTRIBUIDORA S.A.
CO  DF  BRASILIA  POSTO SAO ROQUE LTDA  7996  DIESEL  03/01/2018    3,399  R$ / litro  PETROBRAS DISTRIBUIDORA S.A.
